# Time (s),Mass (g)
142.203,2.328e4
142.703,2.328e4
143.203,2.328e4
143.703,2.328e4
144.203,2.328e4
144.703,2.328e4
145.203,2.328e4
145.703,2.328e4
146.203,2.328e4
146.703,2.328e4
147.203,2.328e4
147.703,2.328e4
148.203,2.328e4
148.703,2.328e4
149.203,2.328e4
149.703,2.328e4
150.203,2.328e4
150.703,2.328e4
151.203,2.328e4
151.703,2.328e4
152.203,2.328e4
152.703,2.328e4
153.203,2.328e4
153.703,2.328e4
154.203,2.328e4
154.703,2.328e4
155.203,2.328e4
155.703,2.328e4
156.203,2.328e4
156.703,2.328e4
157.203,2.328e4
157.703,2.328e4
158.203,2.328e4
158.703,2.328e4
159.203,2.328e4
159.703,2.328e4
160.203,2.328e4
160.703,2.328e4
161.203,2.328e4
161.703,2.328e4
162.203,2.328e4
162.703,2.328e4
163.203,2.328e4
163.703,2.328e4
164.203,2.328e4
164.703,2.328e4
165.203,2.328e4
165.703,2.328e4
166.203,2.328e4
166.703,2.328e4
167.203,2.328e4
167.703,2.328e4
168.203,2.328e4
168.703,2.328e4
169.203,2.328e4
169.703,2.328e4
170.203,2.328e4
170.703,2.328e4
171.203,2.328e4
171.703,2.328e4
172.203,2.328e4
172.703,2.328e4
173.203,2.328e4
173.703,2.328e4
174.203,2.328e4
174.703,2.328e4
175.203,2.328e4
175.703,2.328e4
176.203,2.328e4
176.703,2.328e4
177.203,2.328e4
177.703,2.328e4
178.203,2.328e4
178.703,2.328e4
179.203,2.328e4
179.703,2.328e4
180.203,2.328e4
180.703,2.328e4
181.203,2.328e4
181.703,2.328e4
182.203,2.328e4
182.703,2.328e4
183.203,2.328e4
183.703,2.328e4
184.203,2.328e4
184.703,2.328e4
185.203,2.328e4
185.703,2.328e4
186.203,2.328e4
186.703,2.328e4
187.203,2.328e4
187.703,2.328e4
188.203,2.328e4
188.703,2.328e4
189.203,2.328e4
189.703,2.328e4
190.203,2.328e4
190.703,2.328e4
191.203,2.328e4
191.703,2.328e4
192.203,2.328e4
192.703,2.328e4
193.203,2.328e4
193.703,2.328e4
194.203,2.328e4
194.703,2.328e4
195.203,2.328e4
195.703,2.328e4
196.203,2.328e4
196.703,2.328e4
197.203,2.328e4
197.703,2.328e4
198.203,2.328e4
198.703,2.328e4
199.203,2.328e4
199.703,2.328e4
200.203,2.328e4
200.703,2.328e4
201.203,2.328e4
201.703,2.328e4
202.203,2.328e4
202.703,2.328e4
203.203,2.328e4
203.703,2.328e4
204.203,2.328e4
204.703,2.328e4
205.203,2.328e4
205.703,2.328e4
206.203,2.328e4
206.703,2.328e4
207.203,2.328e4
207.703,2.328e4
208.203,2.328e4
208.703,2.328e4
209.203,2.328e4
209.703,2.328e4
210.203,2.328e4
210.703,2.328e4
211.203,2.328e4
211.703,2.328e4
212.203,2.328e4
212.703,2.328e4
213.203,2.328e4
213.703,2.328e4
214.203,2.328e4
214.703,2.328e4
215.203,2.328e4
215.703,2.328e4
216.203,2.328e4
216.703,2.328e4
217.203,2.328e4
217.703,2.328e4
218.203,2.328e4
218.703,2.328e4
219.203,2.328e4
219.703,2.328e4
220.203,2.328e4
220.703,2.328e4
221.203,2.328e4
221.703,2.328e4
222.203,2.328e4
222.703,2.328e4
223.203,2.328e4
223.703,2.328e4
224.203,2.328e4
224.703,2.328e4
225.203,2.328e4
225.703,2.328e4
226.203,2.328e4
226.204,2.328e4
226.207,2.328e4
226.21,2.328e4
226.214,2.328e4
226.217,2.328e4
226.221,2.328e4
226.225,2.328e4
226.229,2.328e4
226.233,2.328e4
226.238,2.328e4
226.243,2.328e4
226.248,2.328e4
226.254,2.328e4
226.26,2.328e4
226.266,2.328e4
226.273,2.328e4
